时间,花费时间,实际圈数,实际扭力,螺丝结果
2017_10_28_17_28_51_310,0.257s,0圈,59.5mN*m,第622个OK
2017_10_28_17_28_57_232,0.305s,0.3圈,59.5mN*m,第623个OK
2017_10_28_17_29_3_508,0.367s,0.7圈,59.7mN*m,第624个OK
2017_10_28_17_29_9_326,0.382s,0.8圈,59.5mN*m,第625个OK
2017_10_28_17_29_15_532,0.281s,0圈,59.5mN*m,第626个OK
2017_10_28_17_29_21_503,0.258s,0圈,59.5mN*m,第627个OK
2017_10_28_17_29_27_391,0.284s,0圈,59.7mN*m,第628个OK
2017_10_28_17_29_33_710,0.311s,0.2圈,59.7mN*m,第629个OK
2017_10_28_17_29_39_886,0.303s,0.2圈,59.5mN*m,第630个OK
2017_10_28_17_29_45_935,0.294s,0圈,59.5mN*m,第631个OK
2017_10_28_17_29_58_20,0.369s,0.7圈,59.5mN*m,第632个OK
2017_10_28_17_30_4_465,0.277s,0.1圈,59.7mN*m,第633个OK
2017_10_28_17_30_10_521,0.359s,0.4圈,59.5mN*m,第634个OK
2017_10_28_17_30_16_727,0.3s,0.3圈,59.5mN*m,第635个OK
2017_10_28_17_30_22_927,0.402s,0.6圈,59.5mN*m,第636个OK
2017_10_28_17_30_29_310,0.357s,0.7圈,59.7mN*m,第637个OK
2017_10_28_17_30_35_360,0.306s,0.3圈,59.5mN*m,第638个OK
2017_10_28_17_30_41_767,0.322s,0.5圈,59.5mN*m,第639个OK
2017_10_28_17_30_48_155,0.406s,0.9圈,59.5mN*m,第640个OK
2017_10_28_17_30_54_206,0.355s,0.2圈,59.5mN*m,第641个OK
2017_10_28_17_31_0_338,0.276s,0圈,59.5mN*m,第642个OK
2017_10_28_17_31_6_405,0.321s,0.4圈,59.5mN*m,第643个OK
2017_10_28_17_31_12_551,0.345s,0.4圈,59.5mN*m,第644个OK
2017_10_28_17_31_18_783,0.37s,0.8圈,59.5mN*m,第645个OK
2017_10_28_17_31_24_900,0.338s,0.6圈,59.5mN*m,第646个OK
2017_10_28_17_31_32_988,1.152s,7.5圈,7.2mN*m,第647个NG
2017_10_28_17_31_39_269,1.152s,7.5圈,6.7mN*m,第648个NG
2017_10_28_17_31_46_73,1.152s,7.5圈,5.5mN*m,第649个NG
