时间,花费时间,实际圈数,实际扭力,螺丝结果
2017_10_28_15_41_23_394,0.286s,0圈,59.5mN*m,第108个OK
2017_10_28_15_41_29_344,0.376s,0.8圈,59.5mN*m,第109个OK
2017_10_28_15_41_35_524,0.286s,0.2圈,59.5mN*m,第110个OK
2017_10_28_15_41_41_501,0.412s,1圈,59.5mN*m,第111个OK
2017_10_28_15_41_49_646,0.319s,0圈,59.5mN*m,第112个OK
2017_10_28_15_41_56_39,0.256s,0圈,59.5mN*m,第113个OK
2017_10_28_15_42_2_985,0.286s,0.2圈,59.5mN*m,第114个OK
2017_10_28_15_42_8_481,0.354s,0.6圈,59.5mN*m,第115个OK
2017_10_28_15_42_14_440,0.339s,0.5圈,59.5mN*m,第116个OK
2017_10_28_15_42_20_666,0.336s,0.4圈,59.5mN*m,第117个OK
2017_10_28_15_42_26_791,0.382s,0.9圈,59.5mN*m,第118个OK
2017_10_28_15_42_32_866,0.339s,0.2圈,59.5mN*m,第119个OK
2017_10_28_15_42_50_820,0.355s,0.6圈,59.5mN*m,第120个OK
2017_10_28_15_43_13_767,0.337s,0.5圈,59.5mN*m,第121个OK
2017_10_28_15_43_19_984,0.389s,0.8圈,59.5mN*m,第122个OK
2017_10_28_15_43_26_262,0.325s,0.3圈,59.5mN*m,第123个OK
2017_10_28_15_43_32_394,0.392s,0.9圈,59.5mN*m,第124个OK
2017_10_28_15_43_52_494,1.152s,7.5圈,4.4mN*m,第125个NG
2017_10_28_15_43_58_372,0.386s,0.8圈,59.7mN*m,第126个OK
2017_10_28_15_44_4_344,0.361s,0.6圈,59.5mN*m,第127个OK
2017_10_28_15_44_10_424,0.391s,0.9圈,59.5mN*m,第128个OK
2017_10_28_15_44_18_659,0.311s,0圈,59.7mN*m,第129个OK
2017_10_28_15_44_58_252,0.315s,0.4圈,59.5mN*m,第130个OK
2017_10_28_15_45_4_559,0.336s,0.4圈,59.5mN*m,第131个OK
2017_10_28_15_45_10_455,0.311s,0.4圈,59.7mN*m,第132个OK
2017_10_28_15_45_16_591,0.302s,0.1圈,59.5mN*m,第133个OK
2017_10_28_15_45_22_556,0.386s,0.5圈,59.5mN*m,第134个OK
2017_10_28_15_45_28_371,0.483s,0.3圈,59.5mN*m,第135个OK
2017_10_28_15_45_34_920,0.356s,0.7圈,59.5mN*m,第136个OK
2017_10_28_15_45_40_974,0.368s,0.7圈,59.7mN*m,第137个OK
2017_10_28_15_45_47_113,0.313s,0.2圈,59.7mN*m,第138个OK
2017_10_28_15_46_42_620,0.256s,0圈,59.5mN*m,第139个OK
2017_10_28_15_46_49_75,0.309s,0.3圈,59.5mN*m,第140个OK
2017_10_28_15_46_55_212,0.3s,0圈,59.5mN*m,第141个OK
2017_10_28_15_47_1_685,0.292s,0.1圈,59.5mN*m,第142个OK
2017_10_28_15_47_7_898,0.281s,0.2圈,59.5mN*m,第143个OK
2017_10_28_15_47_13_951,0.243s,0圈,59.7mN*m,第144个OK
2017_10_28_15_47_19_932,0.406s,1圈,59.5mN*m,第145个OK
2017_10_28_15_47_26_231,0.362s,0.7圈,59.5mN*m,第146个OK
2017_10_28_15_47_32_34,0.324s,0.4圈,59.5mN*m,第147个OK
2017_10_28_15_47_38_517,0.365s,0.7圈,59.5mN*m,第148个OK
2017_10_28_15_47_44_964,0.269s,0.1圈,59.5mN*m,第149个OK
2017_10_28_15_47_51_1,0.262s,0.1圈,59.5mN*m,第150个OK
2017_10_28_15_48_21_232,0.304s,0.3圈,59.7mN*m,第151个OK
2017_10_28_15_48_27_460,0.256s,0圈,59.5mN*m,第152个OK
2017_10_28_15_48_33_729,0.4s,0.9圈,59.5mN*m,第153个OK
2017_10_28_15_48_39_634,0.336s,0.5圈,59.5mN*m,第154个OK
2017_10_28_15_48_45_662,0.302s,0.3圈,59.5mN*m,第155个OK
2017_10_28_15_48_52_54,0.31s,0.4圈,59.7mN*m,第156个OK
2017_10_28_15_48_58_60,0.304s,0圈,59.5mN*m,第157个OK
2017_10_28_15_49_18_575,0.338s,0.5圈,59.7mN*m,第158个OK
2017_10_28_15_49_24_837,0.368s,0.8圈,59.7mN*m,第159个OK
2017_10_28_15_55_52_0,0.29s,0.1圈,59.5mN*m,第160个OK
2017_10_28_15_55_58_357,0.379s,0.4圈,59.5mN*m,第161个OK
2017_10_28_15_56_4_530,0.294s,0.2圈,59.5mN*m,第162个OK
2017_10_28_15_58_5_141,0.314s,0.3圈,59.5mN*m,第163个OK
2017_10_28_15_58_25_457,0.409s,0.8圈,59.5mN*m,第164个OK
2017_10_28_15_58_37_423,0.315s,0圈,59.5mN*m,第165个OK
2017_10_28_15_58_43_533,0.364s,0.7圈,59.5mN*m,第166个OK
2017_10_28_15_58_49_418,0.243s,0圈,59.5mN*m,第167个OK
2017_10_28_15_58_55_706,0.349s,0.5圈,59.5mN*m,第168个OK
2017_10_28_15_59_1_763,0.294s,0.2圈,59.5mN*m,第169个OK
2017_10_28_15_59_8_232,0.34s,0.4圈,59.5mN*m,第170个OK
2017_10_28_15_59_14_628,0.389s,0.8圈,59.5mN*m,第171个OK
2017_10_28_15_59_21_123,0.248s,0圈,59.5mN*m,第172个OK
2017_10_28_15_59_27_355,0.335s,0.6圈,59.5mN*m,第173个OK
2017_10_28_16_1_36_556,0.31s,0.1圈,59.5mN*m,第174个OK
2017_10_28_16_2_20_772,0.957s,0.7圈,59.5mN*m,第175个OK
2017_10_28_16_2_52_366,0.313s,0.4圈,59.5mN*m,第176个OK
2017_10_28_16_3_0_350,0.37s,0.7圈,59.7mN*m,第177个OK
2017_10_28_16_3_6_730,0.371s,0.6圈,59.5mN*m,第178个OK
